category,axis,count,mean,median,p05,p10,p25,p75,p90,p95,min,max,is_unreliable
childrenslighting,depth_cm,3,12.33,9,8.1,8.2,8.5,14.5,17.8,18.9,8,20,true
childrenslighting,height_cm,3,21,21,15.6,16.2,18,24,25.8,26.4,15,27,true
childrenslighting,width_cm,3,20.67,21,11.1,12.2,15.5,26,29,30,10,31,true
childrentextiles8_12,depth_cm,3,160,160,160,160,160,160,160,160,160,160,true
childrentextiles8_12,height_cm,3,68,68,68,68,68,68,68,68,68,68,true
childrentextiles8_12,width_cm,3,97,97,97,97,97,97,97,97,97,97,true
clocks,depth_cm,1,13,13,13,13,13,13,13,13,13,13,true
clocks,height_cm,1,5,5,5,5,5,5,5,5,5,5,true
clocks,width_cm,1,15,15,15,15,15,15,15,15,15,15,true
clothes_organizer,depth_cm,45,43.2,50,30,30,34,51,55,55,7,55,false
clothes_organizer,height_cm,45,31.93,19,10,10,15,28,90,118,6,150,false
clothes_organizer,width_cm,45,42.07,35,20,25,30,44,69,71,20,93,false
cooking_utensils,depth_cm,3,16.67,17,12.5,13,14.5,19,20.2,20.6,12,21,true
cooking_utensils,height_cm,3,12.33,10,7.3,7.6,8.5,15,18,19,7,20,true
cooking_utensils,width_cm,3,12.33,12,10.2,10.4,11,13.5,14.4,14.7,10,15,true
decorative_accessories,depth_cm,11,24.09,16.5,9.25,13,14,31.5,50,50,5.5,50,true
decorative_accessories,height_cm,11,27.23,26.5,7.5,8,17.25,39,41.5,45.75,7,50,true
decorative_accessories,width_cm,11,22.73,20,11.5,13,13.5,25.5,35,45,10,55,true
desk,depth_cm,174,107.74,120,25,36,53.25,150,150,200,12.5,310,false
desk,height_cm,174,70.75,74,21,60,73,74,75,81.1,6,142,false
desk,width_cm,174,72.65,73,33.95,41,60,75,119.4,140,17.5,155,false
dining_sets,depth_cm,49,131.78,135,75,75,110,140,181,185,54,235,false
dining_sets,height_cm,49,72.76,74,71,72,72,74,74,74.6,47,75,false
dining_sets,width_cm,49,81.92,78,70,74.8,75,85,90,90,67,146,false
dishwasher,depth_cm,5,55.4,55.5,55.1,55.2,55.5,55.5,55.5,55.5,55,55.5,true
dishwasher,height_cm,5,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,true
dishwasher,width_cm,5,56.6,59.6,47.6,50.6,59.6,59.6,59.6,59.6,44.6,59.6,true
dishwashing,depth_cm,7,37.79,32,28.25,29,30.5,47,48.8,49.4,27.5,50,true
dishwashing,height_cm,7,19.64,12,8.95,9.4,11,29.5,36,36,8.5,36,true
dishwashing,width_cm,7,29,29,10.6,11.2,19.5,32.5,45.6,52.8,10,60,true
drawer_unit,depth_cm,32,49.47,48,43,43.2,46.5,51,59.8,60,34,60,false
drawer_unit,height_cm,32,71.12,67.5,55,55.1,60.5,76.25,101.6,109.4,55,116,false
drawer_unit,width_cm,32,45.53,42,28,30.5,36,45,78.7,80,28,80,false
dresser,depth_cm,94,46.46,47,40,40,47,48,50,50,30,54,false
dresser,height_cm,94,83.17,82,21.5,45,68,100,123,126,8,145,false
dresser,width_cm,94,93.22,80,40,40,70,120,160,160,40,161,false
eket_system,depth_cm,70,32.57,35,25,25,35,35,35,35,25,35,false
eket_system,height_cm,70,83.46,70,35,35,35,80,183,211.1,35,213,false
eket_system,width_cm,70,87.5,70,35,35,35,105,175,210,35,280,false
extractor_hoods_and_filters,depth_cm,10,41.32,41.95,25.6,33.7,36.23,45.8,51.88,55.84,17.5,59.8,true
extractor_hoods_and_filters,height_cm,10,42.4,40.1,16.82,20.65,35.8,46.35,73.51,74,13,74.5,true
extractor_hoods_and_filters,width_cm,10,63.2,59.95,36.74,52.58,59.8,74.52,80.8,85.3,20.9,89.8,true
fabric_chaise,depth_cm,7,163,163,163,163,163,163,163,163,163,163,true
fabric_chaise,height_cm,7,83,83,83,83,83,83,83,83,83,83,true
fabric_chaise,width_cm,7,90,90,90,90,90,90,90,90,90,90,true
floor_lamps,depth_cm,6,203.33,210,170,170,177.5,227.5,230,230,170,230,true
floor_lamps,height_cm,6,145.5,148,132,136,144.5,150,152.5,153.75,128,155,true
floor_lamps,width_cm,6,37.33,36,33,33,33.75,36,43,46.5,33,50,true
food_containers,depth_cm,5,21,18,7.6,8.2,10,30,36,38,7,40,true
food_containers,height_cm,5,24.4,18,11,12,15,34,40.6,42.8,10,45,true
food_containers,width_cm,5,21.6,20,13,14,17,26,30.2,31.6,12,33,true
fridges_and_freezers,depth_cm,1,54.9,54.9,54.9,54.9,54.9,54.9,54.9,54.9,54.9,54.9,true
fridges_and_freezers,height_cm,1,121.8,121.8,121.8,121.8,121.8,121.8,121.8,121.8,121.8,121.8,true
fridges_and_freezers,width_cm,1,54,54,54,54,54,54,54,54,54,54,true
frying_pans_and_woks,depth_cm,1,36,36,36,36,36,36,36,36,36,36,true
frying_pans_and_woks,height_cm,1,5,5,5,5,5,5,5,5,5,5,true
frying_pans_and_woks,width_cm,1,26,26,26,26,26,26,26,26,26,26,true
gronlid_system,depth_cm,92,117.91,98,84,92,98,164,164,164,57,164,false
gronlid_system,height_cm,92,58.27,53,49,49,49,68,68,77.9,38,90,false
gronlid_system,width_cm,92,181.7,186.5,72.1,73,92,258,277,339,47,339,false
havsta_systems,depth_cm,52,39.42,37,35,35,37,47,47,47,35,47,false
havsta_systems,height_cm,52,130.19,134,12,19.7,123,134,212,212,12,212,false
havsta_systems,width_cm,52,110.48,81,72,81,81,121,162,243,61,283,false
hooks_and_hangers,depth_cm,1,17,17,17,17,17,17,17,17,17,17,true
hooks_and_hangers,height_cm,1,19,19,19,19,19,19,19,19,19,19,true
hooks_and_hangers,width_cm,1,60,60,60,60,60,60,60,60,60,60,true
induction_hobs,depth_cm,7,49.64,51,42.25,46,51,52,52,52,38.5,52,true
induction_hobs,height_cm,7,6,5.6,5.1,5.1,5.25,5.7,7.24,8.32,5.1,9.4,true
induction_hobs,width_cm,7,57.36,59,38.4,46.8,58,59.25,66.9,72.45,30,78,true
ironing_boards,depth_cm,1,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,true
ironing_boards,height_cm,1,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,true
ironing_boards,width_cm,1,16,16,16,16,16,16,16,16,16,16,true
kitchen_islands_and_trolleys,depth_cm,19,67.32,57,34.7,35,47.75,88.5,121.2,126,32,126,true
