room_category,normalized_category,raw_category,product_name,product_id,width_cm,depth_cm,height_cm,material,image_path,raw_dimension_text
Bedroom,bed,Bed Accessories,Bed Accessories,29209947,160,200,20,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/29209947.jpg,Length: 200 cm Width: 160 cm Height: 20 cm
Bedroom,bed,Bed Accessories,Bed Accessories,09209948,180,200,20,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/09209948.jpg,Length: 200 cm Width: 180 cm Height: 20 cm
Bedroom,bed,Bed Accessories,Bed Accessories,19210480,140,200,20,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/19210480.jpg,Length: 200 cm Width: 140 cm Height: 20 cm
Bedroom,bed,Bed Accessories,Bed Accessories,99210481,160,200,20,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/99210481.jpg,Length: 200 cm Width: 160 cm Height: 20 cm
Bedroom,bed,Bed Accessories,Bed Accessories,39210484,180,200,20,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/39210484.jpg,Length: 200 cm Width: 180 cm Height: 20 cm
Bedroom,bed,Bed Accessories,Bed Accessories,19156303,158,213,97,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/19156303.jpg,Length: 213 cm Width: 158 cm Footboard height: 97 cm Headboard height: 175 cm Mattress length: 200 cm Mattress width: 140 cm
Bedroom,bed,Bed Accessories,Bed Accessories,29239459,140,204,90,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/29239459.jpg,Length: 204 cm Width: 140 cm Height: 90 cm Mattress length: 200 cm Mattress width: 140 cm
Bedroom,bed,Bed Accessories,Bed Accessories,89239456,160,204,90,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/89239456.jpg,Length: 204 cm Width: 160 cm Height: 90 cm Mattress length: 200 cm Mattress width: 160 cm
Bedroom,bed,Bed Accessories,Bed Accessories,09241043,153,207,41,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/09241043.jpg,Length: 207 cm Width: 153 cm Footboard height: 41 cm Headboard height: 95 cm Free height under furniture: 20 cm Mattress length: 200 cm Mattress width: 140 cm
Bedroom,bed,Bed Accessories,Bed Accessories,39241046,173,207,41,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/39241046.jpg,Length: 207 cm Width: 173 cm Footboard height: 41 cm Headboard height: 95 cm Free height under furniture: 20 cm Mattress length: 200 cm Mattress width: 160 cm
